제목,저자,발행기관,학술지명,권호사항,발행연도,작성언어,주제어,KDC,등재정보,자료형태,발행기관 URL,수록면,KCI 피인용횟수,비고,중단사유,제공처,소장기관,국문 초록 (Abstract),다국어 초록 (Multilingual Abstract),목차,exclude_reason
한국어 어휘 교육 방안 연구의 동향 분석 : 학위논문을 중심으로 = An analysis of trends in Korean vocabulary teaching method -Focused on theses-.,오은화 ( Oh Eun Hwa ),연세대학교 언어연구교육원 한국어학당,외국어로서의 한국어교육(Teaching Korean as a Foreign Language),"Vol.58No.-[2020]
",2020,,"한국어 어휘 교육,Korean Vocabulary Education,한국어 어휘 교육 방안,Korean Vocabulary Teaching Method,한국어 어휘 교육 방안 연구,research on Korean Vocabulary Teaching Method,한국어 어휘 교육 방안 동향 분석,analysis of trends in Korean Vocabulary Teaching Method,연구 동향 분석,analysis of research trends",700,KCI등재,"학술저널
",,57-82,2,,," KCI, &nbsp;&nbsp; KISS",,,"The purpose of this study was to research what direction the Korean vocabulary education had to be steered by identifying the trends of research on Korean vocabulary education. Initially, I searched the RISS with the keyword “Korean vocabulary education” and organized the relevant data by year, learner characteristics, and vocabulary type etc. Through the data analysis, I was able to identify several trends. The trend by could be divided into three different time periods depending on the trend of study. Although research on learner proficiency was evenly represented, the studies on the nationality of target learners were mostly represented by Chinese while studies on the types of learners were mostly represented by married foreign immigrant women. Overall, Traditional Chinese (Hanja) contributed the largest proportion of research and I incorporated a variety of research methods such as teaching material analysis, experimental research and surveys in my research. As for the measures for teaching, research on teaching methods were the most popular. Through these results, I propose that more research needs to be done based on the geography of language, proficiency levels, special purposes, and various languages while the measures for teaching be objectively evaluated through this research.",,short_abstract
한국어 어휘 교육 연구를 위한 이론의 고찰 = A Theories Review for the Korean Vocabulary Education Study as a Second Language.,이유경,국제한국어교육학회,한국어 교육(Journal of Korean Language Education),"Vol.20No.1[2009]
",2009,Korean,"vocabulary education,the lexical approach,vocabulary knowledge,explicit teaching,implicit teaching,separating vocabulary,multi-word chunks,corpus,vocabulary learning strategies,어휘 교육,어휘 중심 교수법,어휘 지식,명시적 교수,비명시적 교수,어휘구분,덩어리 어휘,코퍼스,어휘학습전략",,KCI등재,"학술저널
",http://www.iakle.com,135-160,18,,," KCI, &nbsp;&nbsp; 스콜라",경희대학교 중앙도서관,,"There are two aims in this paper. Frist is to present the condition and prospect of Korean vocabulary education for foreigners through traditional teaching approach. Second is to find how to implement various approaches into Korean vocabulary education study. Vocabulary, in recent years, has assumed a more important role in second language acquisition, especially is influenced by the communicative approach, the lexical approach, and the development of corpus-linguistics. There is a need for review of current trends of vocabulary education studies in order to keep abreast of various studies. Six topics are discussed in this article: (1) vocabulary knowledge (2) explicit teaching and implicit learning vocabulary acquisition process and mental lexicon, (3) separating vocabulary, (4) multi-word chunks, (5) corpus, and (6) vocabulary learning strategies.",,short_abstract
한국어 교육 어휘의 선정과 배열 연구 동향,증기(Zeng Qi),한국어문화교육학회,한국어문화교육(The Education of Korean Language and Culture),"Vol.17No.2[2024]
",2024,,"한국어 어휘,한국어 교육 어휘 선정,연구 동향,연구사,Korean Vocabulary,Vocabulary Selection for Korean Education,Research Trends,Research History",370,,"학술저널
",,1-26,,,, 스콜라,,,,"1. 서론
2. 한국어 교육 어휘의 개념 및 범위
3. 연구 방법 및 절차
4. 연구 동향 분석
5. 결론 및 제언",short_abstract
한국어 어휘의 특징과 어휘교육,조현용(Hyun Yong Cho),국제한국어교육학회,한국어 교육(Journal of Korean Language Education),"Vol.10No.1[1999]
",1999,,,710,KCI등재,"학술저널
",http://www.iakle.com,265-281,,,, 스콜라,,,,"1. 머리말
2. 한국어 어휘교육의 연구 현황
3. 한국어 어휘의 특징
4. 특징에 따른 어휘 교육
5. 맺음말
참고 문헌
",short_abstract
학문 목적 한국어교육을 위한 어휘 선정 방법 연구 - 한국어교육 전공 기본 어휘를 중심으로,안혜진,한국어교육학회,한국어교육학회 학술발표논문집(N/A),"Vol.2021No.-[2021]
",2021,,,700,,"학술저널
",,157-169,,,, KISS,,,,,short_abstract
한국어 어휘 교육 항목 선정을 위한 기초연구 = The fundamental Study for Selecting Items of Lexical Education in Korean Language,김지영,국제한국어교육학회,한국어 교육(Journal of Korean Language Education),"Vol.15No.2[2004]
",2004,English,"items of lexical education,lexical error analysis,form of vocabulary,Meaning of vocabulary,usage of vocabulary,.어휘 교육 항목,어휘 오류 분석,어휘의 형태,어휘의 의미,어휘의 사용",,KCI등재,"학술저널
",http://www.iakle.com,93-114,21,,," KCI, &nbsp;&nbsp; 스콜라",,,"The purpose of this essay is to select items of lexical education by analyzing lexical errors of Korean Language learners. There have been various and concrete discussions on lexical education in Korean Language. But most of them were about the method of lexical education, few were about items of lexical education. Therefore, this essay analyzed error types of learners into form, meaning, usage and selected items of lexical education in Korean Language. In form, part of speech information, affix combination information, type of verb information and correlative information were selected, in meaning, seme of vocabulary, meaning information such as hyponymy, antonymy and synonymy and degree of meaning information were selected and in usage, register information and co-occurrence restriction information were selected.",,short_abstract
한국어교육용 중급 어휘 선정에 대한 연구 = A Study on Selection of Intermediate Level Vocabulary with Korean Educational Purpose,강현화 ( Hyoun Hwa Kang ),연세대학교 언어연구교육원 한국어학당,외국어로서의 한국어교육(Teaching Korean as a Foreign Language),"Vol.40No.-[2014]
",2014,,"중급 숙달도,intermediate level,빈도,frequency,어휘목록,vocabulary list,타당도,validity,말뭉치,corpus,한국어교육자료,Korean language materials",700,KCI등재,"학술저널
",,2-49,,,," KCI, &nbsp;&nbsp; KISS",연세대학교 학술문화처 도서관,,"Teaching Korean as a Foreign Language, 40, 1~48. The purpose of this study is to select the intermediate level of vocabulary for the Korean learners with general purpose. For this, the concept and scope of ‘intermediate level’ should be first determined. To this end, this study reviews the curriculum of Korean educational institutions and the Korean language proficiency tests. This study also investigates the vocabulary list regarded as intermediate level by previous studies.This study specifically proceeds with selection process of intermediate level vocabulary as follows. For intermediate level determination, this study first compares the range between a list of vocabulary for Korean education purpose suggested by previous studies and vocabulary used in Korean language materials and Korean language proficiency tests. Then this study prepares the preliminary vocabulary list. Second, this study decides whether or not individual words included in the preliminary list be chosen according to the frequency data of the general corpus, vocabulary list for Korean language education purpose, vocabularies used in the Korean language materials and Korean language proficiency tests. Third, this study verifies the validity of a list selected as intermediate level by key vocabulary group. Finally, objective reviews on the vocabulary list are made by the Korean teachers and professionals, the final list of 3,855 vocabulary is prepared.(Yonsei University)",,short_abstract
한국어 어휘 교육 연구의 방향 모색 = The Exploratory Study of Korean Vocabulary Research.,원미진,국제한국어교육학회,한국어 교육(Journal of Korean Language Education),"Vol.22No.2[2011]
",2011,Korean,"lexical competence,vocabulary size,vocabulary knowledge,vocabulary instruction,second language acquisition,어휘 능력,어휘수,어휘지식,어휘 교수,제 2 언어습득",,KCI등재,"학술저널
",http://www.iakle.com,255-279,14,,," KCI, &nbsp;&nbsp; 스콜라",,,"The article overviews current research on second language learning to provide some implications for Korean vocabulary education. First, the study reviews research about vocabulary size to discuss the starting point of vocabulary research. Previous vocabulary instruction research and vocabulary acquisition theory support the background theory for effective instruction and provide implications for the research area of Korean vocabulary education. I reviewed the selected reports that describe the current trend of vocabulary instruction research to explore the conflicting issues and to determine what the most effective method of instruction may be. The study also points out recent trends in vocabulary research of the Korean language compared to recent trends in second language vocabulary research. In spite of much research of vocabulary focused on the characteristics of Korean vocabulary and vocabulary instruction as effective activities, many empirical and theoretical studies are needed to answer the unsolved issues in Korean vocabulary research.",,short_abstract
한국어 교육용 어휘 교재 개발 연구 = A Study on Developing Korean Vocabulary Textbook for Foreigners,오미정,국제한국어교육학회,한국어 교육(Journal of Korean Language Education),"Vol.15No.3[2004]
",2004,Korean,"textbook development,semantic classification,learner's dictionary,basic vocabulary of Korean Education for foreigners,Korean textbook,Korean vocabulary textbook,교재 개발,의미 분류,학습 사전,한국어 교육용 기본어휘,한국어 교재,한국어 어휘 교재",,KCI등재,"학술저널
",http://www.iakle.com,145-167,16,,," KCI, &nbsp;&nbsp; 스콜라",,,"Although there is a great demand for Korean education for foreigners, little research has been undertaken on the Korean lexical education. In this study, we propose the necessity of developing Korean vocabulary textbook and essential conditions of it. And we analyze the contents and the system of the Korean studying vocabulary list(2003) of The National Academy of The Korean Language. This analysis step is necessary to design a Korean vocabulary textbook. And we design a Korean basic vocabulary textbook(Near publication), which has the system of semantic classification. We show a section of it in this study.",,short_abstract
PWIM 활용 한국어 초급 어휘교육 = Vocabulary Education for Korean Beginner Level Using PWIM,"정연숙,이병운",국제한국어교육학회,한국어 교육(Journal of Korean Language Education),"Vol.29No.3[2018]
",2018,Korean,"PWIM(Picture Words Inductive Model),초급 어휘교육(Vocabulary Education for the Beginner Level),시각 자료(Visual Materials),귀납적 추론(Inductive Inference),구성주의 (Constructivism),상황학습(Anchored Instruction),PWIM(Picture Words Inductive Model),초급 어휘교육,시각 자료,귀납적 추론,구성주의,상황학습,PWIM(Picture Words Inductive Model),Vocabulary Education for the Beginner Level,Visual Materials,Inductive Inference,Constructivism,Anchored Instruction",,KCI등재,"학술저널
",http://www.iakle.com,325-344,1,,," KCI, &nbsp;&nbsp; 스콜라",이화여자대학교 중앙도서관,,"The purpose of this study is to summarize PWIM (Picture Words Inductive Model) which is one of learner-centered vocabulary teaching-learning models, and suggest ways to implement them in Korean language education. The pictures that are used in the Korean language education field help visualize the specific shape, color, and texture of the vocabulary that is the learning target; thus, helping beginner learners to recognize the meaning of the sound. Visual material stimulates the intrinsic schema of the learner and not only becomes a ‘bridge’ connecting the mother tongue and the Korean language, but also reduces difficulty in learning a foreign language because of the ambiguity between meaning and sound in Korean and all languages. PWIM shows commonality with existing learning methods in that it uses visual materials. However, in the past, the teacher-centered learning method has only imitated the teacher because the teacher showed a piece-wise, out-of-life photograph and taught the word. PWIM is a learner-centered learning method that stimulates learners to find vocabulary on their own by presenting visual information reflecting the context. In this paper, PWIM is more suitable for beginner learners who are learning specific concrete vocabulary such as personal identity (mainly objects), residence and environment, daily life, shopping, health, climate, and traffic. The purpose of this study was to develop a method of using PWIM suitable for Korean language learners and teaching procedures. The researchers rearranged the previous research into three steps: brainstorming and word organization, generalization of semantic and morphological rules of extracted words, and application of words. In the case of PWIM, you can go through all three steps at once. Otherwise, it is possible to divide the three steps of PWIM and teach at different times. It is expected that teachers and learners using the PWIM teaching-learning method, which uses realistic visual materials, will enable making an effective class together. (Pusan National University)",,short_abstract
