source,target,weight
Korean language education,한국어교육,28
Korean language education,한국어 교육,27
vocabulary education,어휘 교육,17
Korean Language Education,한국어교육,17
Korean,한국어,14
Korean vocabulary education,한국어 어휘 교육,10
Korean education,한국어 교육,10
corpus,말뭉치,10
Korean Language Education,한국어 교육,9
말뭉치,유의어,9
Corpus,말뭉치,8
어휘 교육,한국어교육,7
Vocabulary Education,어휘 교육,7
Korean language,한국어,7
vocabulary,어휘,7
Korean textbook,한국어 교재,7
어휘 교육,한국어 교육,6
Sino-Korean word,한자어,6
Korean textbooks,한국어 교재,6
Korean education,어휘 교육,5
Corpus,유의어,5
Synonym,유의어,5
Korean Education,한국어교육,5
corpus,코퍼스,5
Korean education,한국어교육,5
vocabulary learning,어휘 학습,5
Korean for academic purposes,학문 목적 한국어,5
Korean language education,vocabulary education,4
Korean language education,어휘 교육,4
vocabulary education,한국어교육,4
vocabulary education,한국어 교육,4
Korean Language Education,어휘 교육,4
Synonym,말뭉치,4
Vocabulary,어휘,4
어휘교육,한국어교육,4
말뭉치,어휘 교육,4
Vocabulary education,어휘 교육,4
중국어,한국어,4
Writing,쓰기,4
Chinese character,한자,4
Korean Education,한국어 교육,4
중국인 한국어 학습자,한국어 교육,4
Sino-Korean words,한자어,4
한국어 교육,한자어,4
error analysis,오류 분석,4
Korean education,vocabulary education,3
어휘 교육,어휘 능력,3
한자,한자어,3
Korean language education,연구 동향,3
연구 동향,한국어교육,3
Chinese character,한자어,3
collocation,연어,3
Corpus,Synonym,3
Corpus,Vocabulary,3
Vocabulary,말뭉치,3
한국어,한국어교육,3
한자 교육,한자어,3
Corpus,어휘 교육,3
KFL,한국어교육,3
Korean language education,의성어,3
curriculum,교육과정,3
Synonym,공기 관계,3
collocation,공기 관계,3
한자,한자교육,3
어휘 교육,한자,3
어휘 교육,유의어,3
어휘 교육,한자어 교육,3
corpus,어휘 교육,3
공기 관계,말뭉치,3
교재,한국어 교육,3
Korean Language Education,다문화가정,3
다문화가정,한국어교육,3
corpus,유의어,3
공기 관계,유의어,3
Korean,중국어,3
유의어,한국어 교육,3
Corpus,코퍼스,3
vocabulary learning,한국어 교육,3
어휘 학습,한국어 교육,3
다문화가정,여성결혼이민자,3
Korean language education,어휘 지식,2
어휘 교육,어휘 지식,2
Korean Language Education,Vocabulary Education,2
Vocabulary Education,한국어 교육,2
한국어,한국어 교육,2
Sino-Korean word,한자,2
Corpus,어휘,2
Synonym,어휘,2
말뭉치,어휘,2
오류,중국인 학습자,2
Vocabulary education,어휘교육,2
Vocabulary education,한국어교육,2
어휘교육,한국어,2
Korean Education,학문 목적 한국어,2
학문 목적 한국어,한국어교육,2
학문 목적 한국어,한국어능력시험,2
Korean language education,어휘교육,2
Corpus,Vocabulary Education,2
Vocabulary Education,말뭉치,2
문학교육,외국어로서의 한국어교육,2
어휘교육,한자어,2
한국어,한자어,2
vocabulary,한자어,2
Korean culture,Korean education,2
Korean education,Vocabulary education,2
어휘 교육,연어,2
의성어,한국어 교육,2
KFL,인지,2
KFL,한국어 교육,2
KFL,한자 교육,2
인지,한국어 교육,2
인지,한자 교육,2
한국어 교육,한자 교육,2
漢字語,한자어,2
어휘,한자어,2
Synonym,collocation,2
Chinese character,어휘 교육,2
어휘 교육,학문 목적 한국어,2
언어 네트워크 분석,한국어 쓰기 교육,2
어휘,한국어 교육,2
vocabulary education,유의어,2
유의어,한국어 어휘,2
Korean education,한자어,2
Korean education,한자어 교육,2
vocabulary education,한자어 교육,2
한국어 교육,한자어 교육,2
한자어,한자어 교육,2
corpus,vocabulary education,2
어휘 교육,코퍼스,2
교재,한국어교육,2
Korean language education,교재,2
유의어,한국어 어휘 교육,2
중국인 학습자,한국어 교육,2
writing,문법,2
writing,쓰기,2
문법,쓰기,2
Korean education,한국어 쓰기,2
Vocabulary Education,어휘교육,2
어휘교육,외국어로서의 한국어교육,2
여성결혼이민자,한국어,2
vocabulary education,어휘교육,2
관용표현,속담,2
