category,model,last_bin,next_bin,last_share,prev_share,delta_pp,pred_share,ci_lo,ci_hi,fit_r2
메타분석,linear,2020-2024,2025-2029,1.60,1.39,0.21,1.94,0.00,3.89,0.0868
메타분석,exponential,2020-2024,2025-2029,1.60,1.39,0.21,0.01,0.00,0.31,0.1217
메타분석,logistic,2020-2024,2025-2029,1.60,1.39,0.21,0.01,0.00,0.32,0.1215
문헌고찰,linear,2020-2024,2025-2029,3.20,4.17,-0.97,4.93,1.46,8.40,0.1712
문헌고찰,exponential,2020-2024,2025-2029,3.20,4.17,-0.97,0.24,0.00,14.66,0.2549
문헌고찰,logistic,2020-2024,2025-2029,3.20,4.17,-0.97,0.21,0.00,13.76,0.2545
정량,linear,2020-2024,2025-2029,21.60,15.28,6.32,11.75,0.00,24.02,0.1632
정량,exponential,2020-2024,2025-2029,21.60,15.28,6.32,25.24,0.57,100.00,0.0332
정량,logistic,2020-2024,2025-2029,21.60,15.28,6.32,21.73,0.56,93.19,0.0244
정성,linear,2020-2024,2025-2029,39.20,33.33,5.87,40.27,27.89,52.64,0.0042
정성,exponential,2020-2024,2025-2029,39.20,33.33,5.87,37.08,27.85,49.37,0.0000
정성,logistic,2020-2024,2025-2029,39.20,33.33,5.87,40.05,28.07,53.35,0.0046
코퍼스,linear,2020-2024,2025-2029,34.40,45.83,-11.43,41.11,26.34,55.89,0.0264
코퍼스,exponential,2020-2024,2025-2029,34.40,45.83,-11.43,100.00,7.37,100.00,0.1032
코퍼스,logistic,2020-2024,2025-2029,34.40,45.83,-11.43,66.51,9.98,97.26,0.1011
