category,model,last_bin,next_bin,last_share,prev_share,delta_pp,pred_share,ci_lo,ci_hi,fit_r2
TOPIK,linear,2020-2024,2025-2029,6.99,2.26,4.73,7.23,3.22,11.24,0.1132
TOPIK,exponential,2020-2024,2025-2029,6.99,2.26,4.73,83.66,0.97,100.00,0.3340
TOPIK,logistic,2020-2024,2025-2029,6.99,2.26,4.73,41.50,1.00,98.03,0.3328
고등,linear,2020-2024,2025-2029,1.84,3.39,-1.55,0.00,0.00,6.71,0.1806
고등,exponential,2020-2024,2025-2029,1.84,3.39,-1.55,0.09,0.00,15.39,0.0071
고등,logistic,2020-2024,2025-2029,1.84,3.39,-1.55,0.08,0.00,13.40,0.0091
다문화,linear,2020-2024,2025-2029,5.88,8.47,-2.59,5.14,0.00,11.62,0.1015
다문화,exponential,2020-2024,2025-2029,5.88,8.47,-2.59,10.59,0.16,100.00,0.0485
다문화,logistic,2020-2024,2025-2029,5.88,8.47,-2.59,9.81,0.16,87.94,0.0448
대학,linear,2020-2024,2025-2029,21.69,21.47,0.22,21.04,10.17,31.91,0.0029
대학,exponential,2020-2024,2025-2029,21.69,21.47,0.22,78.05,5.81,100.00,0.1387
대학,logistic,2020-2024,2025-2029,21.69,21.47,0.22,48.77,6.29,93.11,0.1308
성인,linear,2020-2024,2025-2029,1.47,1.13,0.34,1.62,0.00,4.13,0.0022
성인,exponential,2020-2024,2025-2029,1.47,1.13,0.34,0.12,0.00,21.77,0.0495
성인,logistic,2020-2024,2025-2029,1.47,1.13,0.34,0.12,0.00,18.47,0.0490
외국인,linear,2020-2024,2025-2029,54.78,55.37,-0.59,60.19,54.53,65.85,0.3917
외국인,exponential,2020-2024,2025-2029,54.78,55.37,-0.59,60.99,54.12,68.71,0.3810
외국인,logistic,2020-2024,2025-2029,54.78,55.37,-0.59,60.17,54.53,65.56,0.3895
중등,linear,2020-2024,2025-2029,2.57,2.26,0.31,3.07,0.55,5.58,0.0394
중등,exponential,2020-2024,2025-2029,2.57,2.26,0.31,1.02,0.01,100.00,0.1339
중등,logistic,2020-2024,2025-2029,2.57,2.26,0.31,0.93,0.01,60.32,0.1335
초등,linear,2020-2024,2025-2029,4.78,5.65,-0.87,4.88,0.00,9.93,0.0008
초등,exponential,2020-2024,2025-2029,4.78,5.65,-0.87,1.66,0.01,100.00,0.0254
초등,logistic,2020-2024,2025-2029,4.78,5.65,-0.87,1.69,0.01,69.50,0.0249
