category,model,last_bin,next_bin,last_share,prev_share,delta_pp,pred_share,ci_lo,ci_hi,fit_r2
교수학습,linear,2020-2024,2025-2029,40.98,41.47,-0.50,38.35,34.41,42.29,0.2385
교수학습,exponential,2020-2024,2025-2029,40.98,41.47,-0.50,38.54,35.15,42.26,0.2224
교수학습,logistic,2020-2024,2025-2029,40.98,41.47,-0.50,38.39,34.65,42.28,0.2345
교재,linear,2020-2024,2025-2029,12.84,16.00,-3.16,11.84,7.52,16.16,0.1275
교재,exponential,2020-2024,2025-2029,12.84,16.00,-3.16,11.73,8.57,16.04,0.0983
교재,logistic,2020-2024,2025-2029,12.84,16.00,-3.16,11.73,8.46,16.05,0.1035
디지털AI,linear,2020-2024,2025-2029,7.34,6.53,0.81,10.77,7.35,14.18,0.3572
디지털AI,exponential,2020-2024,2025-2029,7.34,6.53,0.81,100.00,3.40,100.00,0.3803
디지털AI,logistic,2020-2024,2025-2029,7.34,6.53,0.81,66.29,3.58,99.05,0.3812
말뭉치,linear,2020-2024,2025-2029,6.57,6.95,-0.37,7.90,5.45,10.35,0.1781
말뭉치,exponential,2020-2024,2025-2029,6.57,6.95,-0.37,20.09,1.94,100.00,0.1435
말뭉치,logistic,2020-2024,2025-2029,6.57,6.95,-0.37,17.54,2.04,68.54,0.1450
수업설계,linear,2020-2024,2025-2029,8.56,8.00,0.56,9.86,6.68,13.05,0.1446
수업설계,exponential,2020-2024,2025-2029,8.56,8.00,0.56,33.63,3.19,100.00,0.1817
수업설계,logistic,2020-2024,2025-2029,8.56,8.00,0.56,26.50,3.35,78.94,0.1828
습득전이,linear,2020-2024,2025-2029,12.84,12.84,0.00,10.77,7.15,14.40,0.2197
습득전이,exponential,2020-2024,2025-2029,12.84,12.84,0.00,10.97,8.63,13.92,0.2180
습득전이,logistic,2020-2024,2025-2029,12.84,12.84,0.00,10.94,8.48,14.00,0.2188
평가,linear,2020-2024,2025-2029,10.86,8.21,2.65,10.51,6.22,14.79,0.0322
평가,exponential,2020-2024,2025-2029,10.86,8.21,2.65,10.29,6.30,16.79,0.0650
평가,logistic,2020-2024,2025-2029,10.86,8.21,2.65,10.31,6.30,16.43,0.0616
