year_bin,어문연구(The Society for Korean Language & Literary Research),새국어교육(The Academy for Korean Language Education),학습자중심교과교육연구(The Journal of Learner-Centered Curriculum and Instruction),한국언어문화학(Journal of the International Network for Korean Language and Culture),한국어문화교육(The Education of Korean Language and Culture),이중언어학(Bilingual Research),한국어교육연구(The Journal of Korean Education Research),국어교육연구(Journal of Korean Language Education)
1975-1979,0,0,0,0,0,0,0,0
1980-1984,0,0,0,0,0,0,0,0
1985-1989,0,0,0,0,0,0,0,0
1990-1994,0,0,0,0,0,0,0,0
1995-1999,0,0,0,0,0,0,0,0
2000-2004,12,2,0,0,0,0,0,0
2005-2009,20,14,0,0,2,1,0,3
2010-2014,16,15,1,11,12,0,2,8
2015-2019,10,12,11,18,9,7,7,5
2020-2024,11,13,40,11,9,15,13,3
