keyword,count
한국어교육,269
어휘 교육,116
말뭉치,58
교재,50
유의어,35
한국어,33
한자어,29
오류 분석,21
어휘,19
연어,16
Korean,15
중국인 한국어 학습자,14
한국어 어휘 교육,14
빈도,13
오류,13
중국인 학습자,13
학문 목적 한국어,13
한국어 학습자,13
한자,13
vocabulary,12
TOPIK,10
외래어,10
중국어,10
한자어 교육,10
Sino-Korean words,9
다문화가정,9
합성어,9
Chinese character,8
KFL,8
Sino-Korean word,8
교육과정,8
구어 말뭉치,8
문화,8
번역,8
어휘 학습,8
여성결혼이민자,8
연구 동향,8
한자 교육,8
Korean language,7
curriculum,7
漢字語,7
공기 관계,7
교재 개발,7
문법 항목,7
문화교육,7
스토리텔링,7
쓰기 교육,7
어휘 능력,7
외국어로서의 한국어교육,7
한자교육,7
Korean culture,6
Korean for academic purposes,6
Korean textbooks,6
Vocabulary,6
Writing,6
literacy,6
writing,6
고급 학습자,6
관용표현,6
구어,6
문법,6
속담,6
쓰기,6
어휘 목록,6
어휘 지식,6
의사소통능력,6
의성어,6
인지,6
텍스트,6
학습 한국어,6
한국어 문법 교육,6
한국어 쓰기,6
한국어 쓰기 교육,6
한국어 어휘,6
Chinese,5
Chinese learners,5
Generative AI,5
Korean Language,5
Korean learners,5
Pronunciation,5
grammar,5
lexical aspect,5
synonyms,5
textbook analysis,5
word formation,5
교육 방안,5
국어교육,5
담화표지,5
말하기,5
문학교육,5
신조어,5
어휘상,5
언어 네트워크 분석,5
오류분석,5
유학생,5
의미,5
의태어,5
읽기,5
텍스트 분석,5
학습자,5
한국어 교육과정,5
한국어 학습,5
??方案,4
ChatGPT,4
Chinese characters,4
Chinese learners of Korean,4
Errors,4
KSL,4
Korean vocabulary,4
Korean writing,4
Synonyms,4
Test of Proficiency in Korean,4
Translation,4
affix,4
basic vocabulary,4
co-occurrence,4
colloquial features,4
corpus analysis,4
culture,4
meaning,4
productivity,4
spoken corpus,4
storytelling,4
text analysis,4
vocabulary acquisition,4
감정형용사,4
공기관계,4
교육방안,4
구어성,4
글쓰기,4
다문화,4
문법 교육,4
문법교육,4
문식성,4
문어,4
문장,4
문화 교육,4
부사,4
사고도구어,4
사용역,4
사전,4
어휘 선정,4
어휘 습득,4
어휘 오류,4
어휘력,4
외국어,4
은유,4
의사소통,4
작문,4
접두사,4
초급,4
초급 학습자,4
파생어,4
표준어,4
품사,4
학습,4
학습 도구 한국어,4
한국문화,4
한국어 발음 교육,4
??,3
?字?,3
Academic writing,3
Advanced learner,3
Auto-Kohesion,3
China,3
Chinese Character,3
Chinese Korean Learners,3
Chinese Korean learners,3
Chinese education,3
Curriculum,3
Etymology,3
Female Marriage Immigrants,3
Han-character,3
Interlanguage,3
Korean for Academic Purpose,3
Korean for Academic Purposes,3
Korean grammar education,3
Korean language textbooks,3
Korean learner,3
Literacy,3
Onomatopoeia,3
Sino-Korean,3
Sino-Korean Words,3
Speaking,3
Text,3
Textbook Analysis,3
Textbook Development,3
Vietnamese,3
Vietnamese learners,3
adverb,3
authenticity,3
complex word,3
compound word,3
cultural education,3
culture education,3
derivation,3
derived word,3
discourse markers,3
function,3
grammar education,3
lexical network,3
literary education,3
loanword,3
loanwords,3
mental lexicon,3
multicultural education,3
needs analysis,3
neologism,3
prefix,3
proverb,3
reading comprehension,3
register,3
semantic feature,3
semantic features,3
spoken language,3
standard language,3
suffix,3
teaching material,3
teaching method,3
text,3
textbook development,3
vocabulary list,3
writing education,3
漢字 形態素,3
語彙,3
결혼이주여성,3
경어법,3
고급학습자,3
교과 과정,3
교수방법,3
구어 문법,3
국어 교육,3
기능동사,3
기본어휘,3
다의어,3
단원 구성,3
대조 연구,3
동사,3
동형 한자어,3
등급화,3
문법 능력,3
문법화,3
문식성 발달,3
문학,3
문헌 연구법,3
문화어휘,3
발음 교육,3
발음 오류 양상,3
번역 교육,3
베트남 학습자,3
베트남어,3
베트남인 학습자,3
베트남인 한국어 학습자,3
보조사,3
빈도수,3
생산성,3
스키마,3
실제성,3
어휘 교재,3
어휘 밀도,3
어휘 사용 분석,3
어휘 확장,3
어휘목록,3
연결어미,3
오류 양상,3
외국어로서의 한국어,3
외국인 근로자,3
외국인 대학원생,3
외국인 학부생,3
요구 분석,3
요구조사,3
유아,3
유추,3
음절말 자음군,3
의미 변별,3
의미자질,3
의사소통 능력,3
의존명사,3
이동 동사,3
읽기 능력,3
읽기 자료,3
장르 분석,3
접사,3
정도부사,3
주제,3
중국,3
중국어교육,3
차용,3
코퍼스 분석,3
텍스트 난이도,3
텍스트 마이닝,3
평가,3
표제어,3
표현,3
플립드 러닝,3
피동 표현,3
피드백,3
학문 목적 한국어 학습자,3
학문목적 한국어,3
학습자 요구 분석,3
한국 문화,3
한국 한자어,3
한국어 교재 분석,3
한국어 어휘교육,3
한국어 읽기 교육,3
한국어기초사전,3
한국어능력,3
한류,3
한문교육,3
한자 어휘,3
호칭,3
훈민정음,3
19세기 한국어,2
????,2
Academic Korean,2
Accuracy,2
Advanced Korean Learners,2
Altai,2
Archaic Chinese,2
Asia words,2
Attitude,2
Bilingual education,2
Bilingualism,2
Chinese Character Education,2
Chinese Characters Education,2
Chinese Learner,2
Chinese Learners,2
Chinese characters education,2
Chinese vocabulary,2
Chinese-speaking learners,2
Chosun Sibo,2
Cognate,2
Cognition,2
Communication,2
Communication Skills,2
Comparative analysis approach,2
Complexity,2
Contrastive analysis,2
Convergence,2
Cultural education,2
Culture,2
Dictionary,2
Dictogloss,2
EPS-TOPIK,2
Education,2
Erciyes University,2
Focus on Form,2
Foreign Students,2
G2,2
Grammar education,2
Grammatical items,2
HanMun education,2
Hanja education,2
Homonym,2
Hunminjeongeum,2
Idiomatic Expression,2
Idiomatic expressions,2
Idioms,2
Instructional Model,2
Interaction,2
KSL 학습자,2
Korea Immigration and Integration Program by the Ministry of Justice,2
Korean Bible,2
Korean Chinese,2
Korean Culture,2
Korean Grammar Education,2
Korean Literature,2
Korean Sign Language,2
Korean as a Second Language,2
Korean culture education,2
Korean for Specific Academic Purposes,2
Korean language and culture,2
Korean language learner,2
Korean language learners,2
Korean language teaching,2
Korean learning,2
Korean literature education,2
Korean proficiency,2
Korean reading education,2
Korean writing education,2
Korean-Chinese,2
Language-Ecology,2
Learning Activity,2
Lexical complexity,2
Lexical density,2
Lexical diversity,2
Lexical sophistication,2
Listening,2
Literature research methods,2
Loanwords,2
Machine Translation,2
Meaning,2
Mimetic word,2
Multi-Cultural Family,2
Multicultural Students,2
Myanmar Korean Learners,2
Online Education,2
Online King Sejong Institute,2
Part of speech,2
Phonetic Radical,2
Reading,2
Research Trend Analysis,2
Research trends,2
SIOP 모델,2
Sentence,2
Sino-Japanese words,2
Sino-Korean morpheme,2
Sino-korean word,2
Spoken Language,2
Storytelling,2
Text Mining,2
Vietnamese Korean learners,2
Vocabulary Knowledge,2
Vocabulary list,2
Writing for foreigners or overseas Koreans,2
Writing instruction,2
Written Language,2
academic vocabulary,2
analysis,2
analysis of Korean textbooks,2
app,2
chinese character education,2
chinse character,2
communicative competence,2
composition of word contents,2
compound words,2
comprehensible input,2
conceptual map,2
conceptual metaphor,2
connective expressions,2
contrast,2
contrastive analysis,2
contrastive linguistics,2
cross language transfer,2
curriculum development,2
dictionary,2
discourse analysis,2
dummy verb,2
emotional adjectives,2
error,2
errors in Sino-Korean words,2
essential chinese character,2
exclamation,2
extensive reading,2
flipped learning,2
foreign undergraduate students,2
fossilization,2
frame,2
genre analysis,2
grading,2
grammar teaching,2
grammatical competence,2
grammaticalization,2
homonym,2
honorific system,2
honorifics,2
imperfective,2
inference,2
intercultural education,2
interculturel,2
international students,2
lexical competence,2
lexical diversity,2
lexical information,2
lexical knowledge,2
lexical transfer,2
lexicalization,2
manuel,2
married immigrant women,2
meta-analysis,2
metaphor,2
mimetic words,2
misspell,2
motion verb,2
multi-cultural children,2
multicultural family,2
native speaker,2
natural language processing,2
nonce word,2
onomatopoeia,2
passive verb,2
past tense,2
patterns of pronunciation errors,2
perception,2
perfective,2
phonological awareness,2
polysemic words,2
postposition,2
proficiency,2
programme,2
reading,2
related vocabulary,2
replacement,2
rewriting,2
selection basic vocabulary,2
semantic change,2
semantic network analysis,2
semantic relation of word,2
sentence,2
sentence pattern,2
simplification,2
speaking,2
spoken grammar,2
spoken language corpus,2
structural relationship,2
survey,2
synonymy,2
teaching and learning model,2
teaching vocabulary,2
text difficulty,2
text-mining,2
textbook,2
thesis,2
translation education,2
usage analysis,2
usage pattern,2
verb,2
vocabulary interchange history,2
vocabulary knowledge,2
vocabulary selection,2
vocabulary teaching methods,2
vocabulary textbook,2
word difficulty,2
word family,2
word formation ability,2
word frequency,2
word recognition,2
word type,2
évaluation,2
同源,2
國漢混用,2
外?語,2
學問目的 韓國語,2
學術的 글쓰기,2
敎育課程,2
汉字教育,2
漢字,2
漢字 敎育,2
漢字敎育,2
漢字音,2
漢文,2
漢文敎科,2
特殊 學問目的 글쓰기,2
語彙化,2
語文政策,2
誤謬,2
諧聲,2
韓國語 學習者,2
간섭,2
감정 어휘,2
감탄사,2
개념적 은유,2
개발,2
거시구조,2
결합 관계,2
결합 구조,2
겹받침,2
고급 한국어 학습자,2
고급한국어,2
고립어,2
고빈도 어휘,2
고용허가제,2
고용허가제 한국어능력시험,2
공간형용사,2
공기 명사,2
공손 표현,2
관용구,2
관용어,2
교수,2
교수-학습 방안,2
교수법,2
교수요목,2
교실활동,2
교양 한국어,2
교육,2
교육 내용,2
교육 자료,2
교육적 시각,2
교재분석,2
교착어,2
국제 통용 한국어 표준 교육과정,2
기계번역,2
기능,2
기본 어휘,2
기초한자,2
난이도,2
내러티브,2
내용,2
내용중심교수,2
논항구조,2
높임법,2
다문화 교육,2
다문화 학생,2
다문화 학습자,2
다문화가정 자녀들,2
다문화가정 초등학생,2
단순화,2
단어 형성법,2
단어인지,2
단어족,2
단자,2
담화 분석,2
대응관계,2
대조,2
대조 분석,2
대조분석,2
대조언어학,2
도상성,2
독학용 교재,2
동음동의어,2
듣기,2
등급별 어휘,2
뜻풀이,2
러시아어,2
만족도 조사,2
말뭉치언어학,2
모국어 간섭,2
문법 범주,2
문법 오류,2
문법형태소,2
문식력,2
문자,2
문체,2
문해력,2
문형,2
문화요소,2
미각 형용사,2
미시구조,2
미얀마인 학습자,2
반의어,2
발음,2
발음습득,2
방언,2
범주,2
법무부사회통합프로그램,2
복잡성,2
복합어,2
분석,2
블렌디드 러닝,2
비교 분석,2
비언어적 요소,2
비음화,2
비즈니스 한국어,2
비한자문화권,2
빅카인즈,2
사고방식,2
사동,2
사동 접사,2
사동사,2
사동접미사,2
사자성어,2
사회교육(詞匯敎育),2
상관관계,2
상관관계 분석,2
상용 어휘,2
생성형 AI,2
생성형 인공지능,2
선택제약,2
손,2
수업 사례,2
수여구문,2
수여동사,2
스마트러닝,2
습득,2
신어,2
신체어휘,2
심성어휘집,2
쓰기 능력,2
아동문학,2
알타이,2
앱,2
어휘 교류사,2
어휘 교육 내용,2
어휘 구성,2
어휘 난이도,2
어휘 다양도,2
어휘 다양성,2
어휘 등급,2
어휘 반복,2
어휘 빈도,2
어휘 세련도,2
어휘 인식,2
어휘 풍요도,2
어휘 학습 전략,2
어휘 항목,2
어휘망,2
어휘습득,2
어휘장,2
어휘적 연어,2
어휘전이,2
언어 기능,2
언어 숙달도,2
언어 인식,2
언어간섭,2
언어교육,2
언어능력,2
언어문화,2
언어생태학,2
언어유형론,2
언어정책,2
언어학,2
여성 결혼이민자,2
역관,2
역번역,2
연결 표현,2
연구 동향 분석,2
연구동향,2
영어권 학습자,2
영유아,2
예문,2
오류연구,2
온라인 강의,2
온라인 교육,2
완료,2
외국인 유학생,2
외국인을 위한 한국어 교육,2
외래어 교육,2
외적 구성,2
용례 분석,2
우연적 어휘 학습,2
원사,2
유사성,2
유의어 변별,2
유형화,2
융합,2
음소,2
음운 인식,2
음운대응,2
의문사,2
의미 변화,2
의미 정보,2
의미 확장,2
의미적 오류,2
의미확장,2
이독성,2
