year,count,mean,std,z,is_outlier(>=3sigma)
1977,1,25.842105,24.783960,-1.002346,0
1980,1,25.842105,24.783960,-1.002346,0
1985,1,25.842105,24.783960,-1.002346,0
1988,1,25.842105,24.783960,-1.002346,0
1989,1,25.842105,24.783960,-1.002346,0
1992,1,25.842105,24.783960,-1.002346,0
1993,1,25.842105,24.783960,-1.002346,0
1994,2,25.842105,24.783960,-0.961997,0
1996,7,25.842105,24.783960,-0.760254,0
1997,2,25.842105,24.783960,-0.961997,0
1998,4,25.842105,24.783960,-0.881300,0
1999,3,25.842105,24.783960,-0.921649,0
2000,6,25.842105,24.783960,-0.800603,0
2001,9,25.842105,24.783960,-0.679557,0
2002,8,25.842105,24.783960,-0.719905,0
2003,7,25.842105,24.783960,-0.760254,0
2004,10,25.842105,24.783960,-0.639208,0
2005,8,25.842105,24.783960,-0.719905,0
2006,9,25.842105,24.783960,-0.679557,0
2007,12,25.842105,24.783960,-0.558511,0
2008,18,25.842105,24.783960,-0.316419,0
2009,29,25.842105,24.783960,0.127417,0
2010,45,25.842105,24.783960,0.772996,0
2011,40,25.842105,24.783960,0.571252,0
2012,42,25.842105,24.783960,0.651950,0
2013,46,25.842105,24.783960,0.813344,0
2014,45,25.842105,24.783960,0.772996,0
2015,38,25.842105,24.783960,0.490555,0
2016,56,25.842105,24.783960,1.216831,0
2017,53,25.842105,24.783960,1.095785,0
2018,46,25.842105,24.783960,0.813344,0
2019,68,25.842105,24.783960,1.701015,0
2020,73,25.842105,24.783960,1.902759,0
2021,73,25.842105,24.783960,1.902759,0
2022,67,25.842105,24.783960,1.660667,0
2023,50,25.842105,24.783960,0.974739,0
2024,53,25.842105,24.783960,1.095785,0
2025,46,25.842105,24.783960,0.813344,0
