year,TOPIK,고등,다문화,대학,성인,외국인,중등,초등
1985,0,0,0,1,0,0,1,0
1989,0,0,0,0,0,0,0,1
1992,0,1,0,1,1,0,0,0
1994,0,0,0,1,0,0,0,0
1996,0,1,0,5,0,0,0,0
1997,0,1,0,0,0,0,0,0
1999,0,0,0,0,1,0,0,0
2000,0,1,0,1,0,0,1,1
2001,0,1,0,2,1,1,0,2
2002,0,0,0,2,0,0,1,0
2003,0,2,0,1,0,1,0,0
2004,0,0,0,0,0,1,0,0
2005,0,0,0,0,0,2,0,0
2006,0,1,0,0,0,1,0,0
2007,0,1,0,5,0,4,0,0
2008,2,0,3,2,1,7,0,0
2009,0,1,2,4,0,6,1,1
2010,0,1,6,4,2,10,1,5
2011,2,0,4,2,0,10,0,2
2012,1,0,3,7,2,17,1,3
2013,2,3,6,2,0,15,0,1
2014,0,2,4,9,1,24,0,1
2015,1,1,1,5,0,14,0,2
2016,0,1,4,14,0,21,0,3
2017,1,2,4,7,0,22,2,1
2018,1,0,2,6,0,12,2,1
2019,1,2,4,6,2,29,0,3
2020,1,2,7,9,1,37,2,4
2021,5,1,0,18,0,35,2,1
2022,7,0,2,19,1,31,1,0
2023,3,0,4,7,0,22,2,7
2024,3,2,3,6,2,24,0,1
2025,3,2,1,8,1,22,1,0
