year_bin,target,count,total,prop,ci_low,ci_high
1985-1989,TOPIK,0,3,0.000000,0.000000,0.561506
1985-1989,고등,0,3,0.000000,0.000000,0.561506
1985-1989,다문화,0,3,0.000000,0.000000,0.561506
1985-1989,대학,1,3,0.333333,0.061490,0.792345
1985-1989,성인,0,3,0.000000,0.000000,0.561506
1985-1989,외국인,0,3,0.000000,0.000000,0.561506
1985-1989,중등,1,3,0.333333,0.061490,0.792345
1985-1989,초등,1,3,0.333333,0.061490,0.792345
1990-1994,TOPIK,0,4,0.000000,0.000000,0.489900
1990-1994,고등,1,4,0.250000,0.045586,0.699364
1990-1994,다문화,0,4,0.000000,0.000000,0.489900
1990-1994,대학,2,4,0.500000,0.150036,0.849964
1990-1994,성인,1,4,0.250000,0.045586,0.699364
1990-1994,외국인,0,4,0.000000,0.000000,0.489900
1990-1994,중등,0,4,0.000000,0.000000,0.489900
1990-1994,초등,0,4,0.000000,0.000000,0.489900
1995-1999,TOPIK,0,8,0.000000,0.000000,0.324416
1995-1999,고등,2,8,0.250000,0.071478,0.590730
1995-1999,다문화,0,8,0.000000,0.000000,0.324416
1995-1999,대학,5,8,0.625000,0.305738,0.863158
1995-1999,성인,1,8,0.125000,0.022417,0.470895
1995-1999,외국인,0,8,0.000000,0.000000,0.324416
1995-1999,중등,0,8,0.000000,0.000000,0.324416
1995-1999,초등,0,8,0.000000,0.000000,0.324416
2000-2004,TOPIK,0,19,0.000000,0.000000,0.168184
2000-2004,고등,4,19,0.210526,0.085075,0.433347
2000-2004,다문화,0,19,0.000000,0.000000,0.168184
2000-2004,대학,6,19,0.315789,0.153642,0.539900
2000-2004,성인,1,19,0.052632,0.009352,0.246392
2000-2004,외국인,3,19,0.157895,0.055204,0.375659
2000-2004,중등,2,19,0.105263,0.029358,0.313946
2000-2004,초등,3,19,0.157895,0.055204,0.375659
2005-2009,TOPIK,2,44,0.045455,0.012555,0.151353
2005-2009,고등,3,44,0.068182,0.023459,0.182253
2005-2009,다문화,5,44,0.113636,0.049527,0.239794
2005-2009,대학,11,44,0.250000,0.145741,0.394408
2005-2009,성인,1,44,0.022727,0.004023,0.118080
2005-2009,외국인,20,44,0.454545,0.317050,0.599341
2005-2009,중등,1,44,0.022727,0.004023,0.118080
2005-2009,초등,1,44,0.022727,0.004023,0.118080
2010-2014,TOPIK,5,153,0.032680,0.014038,0.074214
2010-2014,고등,6,153,0.039216,0.018094,0.082909
2010-2014,다문화,23,153,0.150327,0.102306,0.215477
2010-2014,대학,24,153,0.156863,0.107734,0.222801
2010-2014,성인,5,153,0.032680,0.014038,0.074214
2010-2014,외국인,76,153,0.496732,0.418562,0.575062
2010-2014,중등,2,153,0.013072,0.003592,0.046405
2010-2014,초등,12,153,0.078431,0.045433,0.132082
2015-2019,TOPIK,4,177,0.022599,0.008822,0.056658
2015-2019,고등,6,177,0.033898,0.015627,0.071973
2015-2019,다문화,15,177,0.084746,0.052028,0.135106
2015-2019,대학,38,177,0.214689,0.160598,0.280902
2015-2019,성인,2,177,0.011299,0.003104,0.040258
2015-2019,외국인,98,177,0.553672,0.480070,0.624995
2015-2019,중등,4,177,0.022599,0.008822,0.056658
2015-2019,초등,10,177,0.056497,0.030974,0.100863
2020-2024,TOPIK,22,310,0.070968,0.047330,0.105109
2020-2024,고등,7,310,0.022581,0.010980,0.045869
2020-2024,다문화,17,310,0.054839,0.034517,0.086059
2020-2024,대학,67,310,0.216129,0.173933,0.265275
2020-2024,성인,5,310,0.016129,0.006908,0.037195
2020-2024,외국인,171,310,0.551613,0.495954,0.606008
2020-2024,중등,8,310,0.025806,0.013133,0.050089
2020-2024,초등,13,310,0.041935,0.024668,0.070417
