year,교수학습,교재,디지털AI,말뭉치,수업설계,습득전이,평가
1985,1,0,0,0,0,1,1
1988,1,0,0,0,0,1,0
1989,1,1,0,1,0,0,0
1992,1,0,0,0,0,1,1
1994,1,1,1,0,0,1,1
1996,5,5,0,0,0,6,1
1997,2,1,0,0,0,1,1
1998,2,2,0,0,0,2,0
1999,2,2,0,0,1,2,1
2000,2,3,0,0,1,3,0
2001,2,0,1,0,0,1,0
2002,6,1,0,0,2,4,1
2003,5,2,3,0,0,3,2
2004,5,1,1,0,0,0,2
2005,4,1,0,0,0,2,0
2006,6,1,0,1,0,3,2
2007,9,3,0,0,2,2,1
2008,14,8,0,1,1,6,6
2009,17,11,3,1,4,5,2
2010,32,8,5,3,7,10,2
2011,28,7,6,2,2,11,4
2012,30,10,0,2,6,8,7
2013,29,13,5,6,3,15,5
2014,40,15,0,6,1,18,3
2015,24,11,7,6,7,9,5
2016,46,17,4,7,7,22,6
2017,36,15,6,6,5,10,4
2018,36,15,4,6,7,9,12
2019,55,18,10,8,12,11,12
2020,65,19,11,8,14,23,18
2021,61,22,7,14,11,16,11
2022,59,16,15,11,14,20,10
2023,37,7,8,8,9,12,12
2024,46,20,7,2,8,13,20
2025,39,9,16,7,12,12,10
