agency,count
한국어문교육연구회,69
한국국어교육학회,56
학습자중심교과교육학회,52
국제한국언어문화학회,40
한국어문화교육학회,32
이중언어학회,23
한국어교육연구학회,22
서울대학교 국어교육연구소,19
연세대학교 언어정보연구원,19
중앙어문학회,19
우리말학회,19
우리말글학회,18
한중인문학회,17
길림성민족사무위원회,17
한국한자한문교육학회,17
한국일어교육학회,15
어문연구학회,13
인문사회 21,13
우리말교육현장학회,12
연세대학교 언어연구교육원 한국어학당,12
중앙대학교 문화콘텐츠기술연구원,10
고려대학교 한국어문교육연구소,9
동악어문학회,9
반교어문학회,9
중국한국(조선)어교육연구학회,8
한국외국어대학교 외국어교육연구소,8
한국일본어교육학회,8
강원대학교 인문과학연구소,7
한국한문교육학회,7
민족어문학회,7
이화어문학회,7
국제언어문학회,7
국어교육학회,6
한국독일어교육학회,6
국어교과교육학회,5
배재대학교 주시경교양교육연구소,5
대구대학교 다문화사회정책연구소,5
국제어문학회,5
한국독어독문학교육학회,5
국제한국어교육문화재단,5
부산대학교 인문학연구소,5
한국프랑스어문교육학회,5
한국어학회,5
한국일본어학회,5
중국어문연구회,5
국어교육학회(since1969),4
배달말학회,4
고려대학교 한국학연구소,4
겨레어문학회,4
택민국학연구원,4
