journal,count
어문연구(The Society for Korean Language & Literary Research),69
새국어교육(The Academy for Korean Language Education),56
학습자중심교과교육연구(The Journal of Learner-Centered Curriculum and Instruction),52
한국언어문화학(Journal of the International Network for Korean Language and Culture),40
한국어문화교육(The Education of Korean Language and Culture),32
이중언어학(Bilingual Research),23
한국어교육연구(The Journal of Korean Education Research),22
국어교육연구(Journal of Korean Language Education),19
언어사실과 관점(Language Facts and Perspectives),19
어문논집(語文論集),19
우리말연구(Urimal),19
우리말 글(The Korean Language and Literature),18
중국조선어문,17
한중인문학연구(Studies of Chinese & Korean Humanities),16
漢字 漢文敎育(N/A),16
일본어교육연구(Korean journal of jananese Education),15
어문연구(EOMUNYEONGU),13
인문사회 21(The Journal of Humanities and Social science),13
우리말교육현장연구(Field Studies in Korean Language Education),12
외국어로서의 한국어교육(Teaching Korean as a Foreign Language),12
다문화콘텐츠연구(Journal of multi-cultural contents studies),10
한국어문교육,9
동악어문학(Journal of Dong-ak Language and Literature),9
반교어문연구(Journal of Bangyo Language and Literature),9
한국(조선)어교육연구(N/A),8
외국어교육연구(Studies in foreign language education),8
국어교육연구(The Journal of Korean Language and Literature Education),8
일본어교육(Journal of Japanese Language Education Association),8
인문과학연구(Studies in humanities),7
한문교육논집(Journal of Chinese Characters Education in Korea(CCEK)),7
어문논집(Journal of The Society of Korean Language and Literature),7
이화어문논집(Journal of Ewha Korean Language and Literature),7
國際言語文學(International Language and Literature),7
국제어문(Korean Language and Literature in International Context),6
외국어로서의 독일어(Deutsch als Fremdsprache in Korea),6
국어교과교육연구(The Journal of Korean Arts Education Research),5
대학교양교육연구(Journal of Liberal Arts Education Studies),5
현대사회와 다문화(Contemporary Society and Multiculture),5
독어교육(Koreanische Zeitschrift fur deutschunterricht),5
국제한국어교육,5
코기토(Cogito),5
프랑스어문교육(Societe Coreenne d＇Enseignement de Langue et Litterature Francaises),5
한국어학(Korean Linguistics),5
리터러시 연구(.),5
일본어학연구(The Japanese Language Association of Korea),5
중국어문논총(JOURNAL OF CHINESE LANGUAGE AND LITERATURE),5
청람어문교육(Journal of CheongRam Korean Language Education),4
배달말(Korean Language),4
한국학연구(The Journal of Korean Studies),4
겨레어문학(N/A),4
